caseId,chartInspected,reviewerState,ambiguity,visualAssessment,dataQuality,notes
RBV1-025,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Steady decline with only modest terminal recovery; official open missing and recent coverage 0.6."
RBV1-026,YES,REBOUND,BOUNDARY_FLOAT,BOUNDARY_AMBIGUOUS,OK,"High-quality prefix but recovery ratio is effectively 1.0 and falls infinitesimally below equality."
RBV1-027,YES,RISE,BOUNDARY_FLOAT,BOUNDARY_AMBIGUOUS,DEGRADED,"Recovery ratio is effectively 1.0 and exceeds equality only at floating-point scale; recent coverage 0.5."
RBV1-028,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,DEGRADED,"Large prior down leg with only a tiny recovery fraction despite adequate recent coverage; official open missing."
RBV1-029,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Persistent current-prefix decline with a small late rebound; recent coverage 0.6 and stale anchor."
RBV1-030,YES,REBOUND,DATA_QUALITY,AMBIGUOUS_SPARSE_REBOUND,DEGRADED,"Sparse recent window contains spike/retrace behavior; recent coverage 0.1 and stale anchor make the semantic rebound weakly supported."
RBV1-031,YES,REBOUND,DATA_QUALITY,CLEAR_REBOUND,DEGRADED,"Visible decline followed by a late recovery that remains partial; recent coverage 0.7 and stale anchor."
RBV1-032,YES,RISE,SMALL_PRIOR_MOVE,AMBIGUOUS_CHOPPY_RISE,DEGRADED,"Recent rise is large relative to a small prior down leg, but current prefix is choppy; official open missing."
RBV1-033,YES,RISE,BOUNDARY_FLOAT,BOUNDARY_AMBIGUOUS,DEGRADED,"Recovery ratio is effectively 1.0 and exceeds equality only at floating-point scale; recent coverage 0.1 and stale anchor."
RBV1-034,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Current prefix trends down with only a modest late recovery; recent coverage 0.7."
