caseId,tags_pipe_separated,rationale
G7-015,SEMANTICS_SUFFICIENT,"pivotN=3でHIGH3295→LOW3275→HIGH3295と方向構造はまだ確定しない。checkpoint時点のDOWNとINSUFFICIENTは整合する。"
G7-016,STATUS_SEMANTICS_PROBLEM,"pivotN=2で表示されるのはLOW16585とHIGH16645の1組だけでありlower-highまたはlower-low関係を確認できないのにDOWN_STRUCTUREがDEFINEDになっている。"
G7-017,VOCABULARY_GAP_CANDIDATE|STATUS_SEMANTICS_PROBLEM,"観測とscaleが利用可能でpivotN=4もあるためStructure自体は評価可能に見えるのにNOT_APPLICABLEとなっている。また高値切上げと安値切下げの拡大型は既存語彙外候補に見える。"
G7-018,OBSERVATION_OR_PROVENANCE_PROBLEM|STATUS_SEMANTICS_PROBLEM,"latest5が0/5で観測欠損があるうえSCALE_INSUFFICIENTという状態に123.456という有効値らしい数値が同時表示されておりstatus表現が自己矛盾している。"
G7-019,STATUS_SEMANTICS_PROBLEM,"pivotN=0かつLast causal pivotsも空なのにFORMING_UPがDEFINEDになっている。表示価格もcheckpointまで全体として下降しており根拠が見えない。"
G7-020,SEMANTICS_SUFFICIENT,"LOW3187→HIGH3212→higher LOW3199の並びとその後の上昇からUP_STRUCTUREとPROGRESSIONが自然に対応している。"
G7-021,SEMANTICS_SUFFICIENT,"pivotN=2なのでstructure不足は妥当。最終LOW939からcheckpointへ小反発しているためUPとRECOVERYにも明確な矛盾はない。"
G7-022,SEMANTICS_SUFFICIENT,"pivotが確定しておらずcheckpoint直前は89付近で横ばい。UNCHANGEDとINSUFFICIENTの組合せは表示情報から妥当。"
G7-023,BOUNDARY_OR_TOLERANCE_SUSPECTED,"直近HIGH1187からcheckpoint1173までの下落幅は表示scale=9を上回る一方DirectionはUNCHANGED。DOWNへの切替条件やconfirmation toleranceの境界に見える。"
G7-024,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が3/2でscheduled bar欠損が明示されObservationもPARTIAL。現在方向を評価しない処理は妥当だが観測不足がある。"
G7-025,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5自体は揃う一方でSCALE_INSUFFICIENTが明示されstructureが評価不能。表示履歴も断続的でscaleを確立する観測基盤が不足している。"
G7-026,OBSERVATION_OR_PROVENANCE_PROBLEM,"PREVIOUS_CONTEXT_UNAVAILABLEによりscaleの前提contextが不足している。現在方向は表示されるがstructureを評価するprovenanceが欠ける。"
G7-027,OBSERVATION_OR_PROVENANCE_PROBLEM|STATUS_SEMANTICS_PROBLEM,"ObservationがCOMPLETEなのにlatest5は0/5でcurrent bar未観測とmissing scheduled barがReasonCodesに明示されている。さらにその状態でDirection UPがDEFINEDなのも整合しない。"
G7-028,STATUS_SEMANTICS_PROBLEM,"pivotN=1で確認済みpivotはHIGH486の1点だけ。相対的なhigher-highまたはhigher-lowを確認できないのにUP_STRUCTUREがDEFINEDになっている。"
G7-029,SEMANTICS_SUFFICIENT,"scale=90に対して確定pivotがなくstructure不足となっている一方checkpoint付近の現在方向は明瞭に下向きでDOWN表示と整合する。"
G7-030,SEMANTICS_SUFFICIENT,"HIGH1176→LOW1143→HIGH1235→LOW1180で高値と安値がともに切り上がっておりUP_STRUCTUREとPROGRESSIONが整合する。"
G7-031,SEMANTICS_SUFFICIENT,"pivotN=1でstructure不足は妥当。直近HIGH2337からcheckpointまで低下しているためDirection DOWNとも整合する。"
G7-032,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が4/1でObservationはPARTIAL。missing scheduled barが明示されDirectionを評価しない状態は観測不足に対応している。"
G7-033,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が3/2でObservationはPARTIAL。直前barの欠損によりcurrent directionを評価できない観測状態になっている。"
G7-034,SEMANTICS_SUFFICIENT,"pivotN=1のためstructure不足は妥当。直近の小反発をUPとして扱うことにも表示経路上の明確な矛盾はない。"
G7-035,STATUS_SEMANTICS_PROBLEM,"pivotN=1だけでRANGE_STRUCTUREをDEFINEDする根拠が不足している。checkpointへ明瞭な下落が続く局面をBALANCEとする表示にも強い不整合がある。"
G7-036,BOUNDARY_OR_TOLERANCE_SUSPECTED,"先行HIGH705に対し次のHIGH695はちょうどscale=10だけ低い。DOWN_STRUCTURE成立をstrictに大きい差とするか同値を含むかで判定が変わる境界例に見える。"
G7-037,STATUS_SEMANTICS_PROBLEM,"確認pivotsはHIGH1176→1235かつLOW1143→1180で高値と安値がともに切り上がっている。表示されたDOWN_STRUCTUREはpivot関係と逆。"
G7-038,OBSERVATION_OR_PROVENANCE_PROBLEM,"SCALE_ZEROが明示されており価格変動が存在する表示経路に対して有効なscaleを確立できていない。structure評価を止めるべき入力基盤問題。"
G7-039,BOUNDARY_OR_TOLERANCE_SUSPECTED,"最終LOW95からcheckpoint98まで3上昇しておりscale=2を超えるがDirectionはUNCHANGED。一方PhaseはRECOVERYなのでUPへの切替thresholdまたはhysteresis境界が疑われる。"
G7-040,SEMANTICS_SUFFICIENT,"scale=20で確定pivotがなくstructure不足。checkpoint付近は下方向でDirection DOWNと表示経路に矛盾はない。"
G7-041,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が0/5でcurrent bar未観測とscheduled bar欠損が明示されている。UNAVAILABLEとしてState評価を停止するのは整合するが観測問題が存在する。"
G7-042,SEMANTICS_SUFFICIENT,"checkpointまでの観測はCOMPLETEでpivotsは高値安値とも切り上がりUP_STRUCTUREとPROGRESSIONに整合する。Future cardもCENSORED表示で将来値は露出していない。"
G7-043,SEMANTICS_SUFFICIENT,"pivotN=1なのでstructure不足は妥当。checkpoint直前は205前後で小幅推移しておりUNCHANGEDにも明確な矛盾はない。"
G7-044,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5は揃っているがSCALE_INSUFFICIENTが明示されstructureが評価不能。現在Stateを構造化するためのscale根拠が不足している。"
